WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,WEEKLY_SALES,TOTAL_QUANTITY
1,6,4,1470,851.0,178
1,6,4,889,1101.0,240
1,6,4,284,1135.0,236
1,6,4,575,1063.5,229
1,6,4,319,990.0,213
1,6,4,574,1020.0,224
1,6,4,1579,1121.0,241
1,6,4,1066,1348.5,296
1,6,4,1450,1304.0,271
1,6,4,1517,909.5,194
1,6,4,1573,970.0,208
1,6,4,646,973.5,205
1,6,4,1451,773.5,168
1,6,4,874,1002.5,215
1,6,4,2008,61.0,14
2,6,4,1061,644.0,138
2,6,4,1977,1135.5,240
2,6,4,284,867.0,182
2,6,4,1490,820.5,176
2,6,4,1161,1275.0,269
2,6,4,606,1345.5,282
2,6,4,2008,808.5,163
2,6,4,345,1161.0,246
2,6,4,691,1066.5,224
2,6,4,1610,65.0,15
2,6,4,643,660.5,139
2,6,4,1752,868.0,186
2,6,4,875,885.0,182
2,6,4,1826,1127.0,238
2,6,4,909,1232.5,262
3,6,4,323,904.5,185
3,6,4,1617,1099.5,229
3,6,4,1610,667.5,141
3,6,4,1470,835.0,174
3,6,4,303,936.0,196
3,6,4,304,1161.0,244
3,6,4,1163,819.5,172
3,6,4,534,945.0,199
3,6,4,1561,1185.0,242
3,6,4,591,1092.5,229
3,6,4,1511,1644.5,363
3,6,4,875,1086.0,227
3,6,4,2015,873.0,181
4,6,4,1818,1268.0,269
4,6,4,302,862.5,173
4,6,4,885,609.5,125
4,6,4,892,1563.0,336
4,6,4,884,1272.0,266
4,6,4,1748,952.5,206
4,6,4,1524,901.0,189
4,6,4,283,1192.0,249
4,6,4,318,1067.5,234
4,6,4,608,968.5,194
4,6,4,1525,50.0,12
4,6,4,1459,1266.5,257
4,6,4,2012,1088.0,226
4,6,4,1065,1383.0,291
4,6,4,1512,1226.0,261
5,6,4,665,892.0,191
5,6,4,284,775.0,159
5,6,4,409,60.0,14
5,6,4,212,655.0,138
5,6,4,873,1046.0,226
5,6,4,1977,1012.0,214
5,6,4,1525,624.5,139
5,6,4,1521,679.0,141
5,6,4,655,1254.5,268
5,6,4,666,751.0,154
5,6,4,1277,1209.0,248
5,6,4,1966,682.0,143
5,6,4,901,551.0,120
5,6,4,1591,746.5,161
5,6,4,319,1120.5,238
6,6,4,646,735.5,157
6,6,4,593,1035.5,221
6,6,4,2055,1117.5,241
6,6,4,211,859.5,185
6,6,4,1507,3.0,1
6,6,4,597,786.5,169
6,6,4,1516,570.5,119
6,6,4,869,895.5,181
6,6,4,1559,955.5,204
6,6,4,942,991.5,214
6,6,4,1977,1332.0,272
6,6,4,409,1725.5,369
6,6,4,1518,804.5,171
6,6,4,1455,1241.5,259
7,6,4,1528,973.0,203
7,6,4,884,2055.0,444
7,6,4,400,718.0,150
7,6,4,1583,834.0,179
7,6,4,1507,700.5,145
7,6,4,1752,1239.5,259
7,6,4,1501,1095.0,229
7,6,4,1621,687.5,144
7,6,4,1515,1126.0,239
7,6,4,606,924.5,193
7,6,4,426,963.0,195
7,6,4,306,844.0,177
7,6,4,327,741.5,156
7,6,4,943,63.0,15
8,6,4,1456,1347.0,283
8,6,4,284,985.5,207
8,6,4,1162,59.0,12
8,6,4,1612,912.0,188
8,6,4,1616,1277.0,259
8,6,4,833,2092.5,455
8,6,4,1738,1237.0,251
8,6,4,1822,985.0,209
8,6,4,574,1350.5,288
8,6,4,1051,1090.5,240
8,6,4,1584,1060.0,228
8,6,4,942,864.5,185
8,6,4,943,696.0,142
8,6,4,903,1604.0,334
9,6,4,1470,871.5,185
9,6,4,658,1155.0,241
9,6,4,1811,1037.0,223
9,6,4,357,24.0,5
9,6,4,1159,701.0,144
9,6,4,1459,921.5,199
9,6,4,1611,840.0,177
9,6,4,583,898.0,184
9,6,4,1573,1429.0,298
9,6,4,1162,562.0,119
9,6,4,2106,994.0,209
9,6,4,211,1277.0,264
9,6,4,570,655.0,143
9,6,4,598,715.5,146
9,6,4,1457,854.0,179
10,6,4,1593,1129.0,239
10,6,4,535,637.0,138
10,6,4,1989,698.5,138
10,6,4,1490,856.0,180
10,6,4,645,1140.5,237
10,6,4,1276,1690.5,349
10,6,4,614,830.0,179
10,6,4,1514,917.5,194
10,6,4,1512,1217.0,260
10,6,4,1578,821.5,168
10,6,4,942,933.5,197
10,6,4,1059,819.5,175
10,6,4,357,604.5,125
10,6,4,1519,1221.0,251
11,6,4,596,1384.5,292
11,6,4,592,1177.5,257
11,6,4,835,1098.5,226
11,6,4,692,1092.0,236
11,6,4,1501,917.0,199
11,6,4,399,1045.0,213
11,6,4,903,1058.5,220
11,6,4,1067,1192.5,240
11,6,4,584,697.5,136
11,6,4,2008,836.0,177
11,6,4,1462,705.5,147
11,6,4,341,1355.0,295
11,6,4,428,1352.5,283
11,6,4,1747,17.0,3
11,6,4,1465,1433.0,304
12,6,4,2106,788.5,162
12,6,4,910,1375.5,292
12,6,4,1455,1270.5,263
12,6,4,431,787.0,162
12,6,4,1621,773.5,159
12,6,4,1747,921.0,197
12,6,4,884,1100.0,231
12,6,4,409,834.5,179
12,6,4,837,1409.5,302
12,6,4,1749,1166.0,247
12,6,4,2013,861.0,175
12,6,4,1049,72.5,15
12,6,4,402,1046.5,214
12,6,4,1494,710.0,151
13,6,4,617,74.5,17
13,6,4,1453,816.0,176
13,5,0,1737,2261.0,445
13,5,0,342,3715.0,727
13,5,0,1032,314.0,64
13,6,4,1521,596.5,129
13,6,4,212,907.5,198
13,6,4,302,700.0,150
13,6,4,601,781.0,162
13,6,4,284,632.0,132
13,6,4,1049,589.0,119
13,6,4,569,1072.0,229
13,6,4,323,970.0,197
13,9,0,1916,4854.0,470
13,9,0,294,6104.0,564
13,6,4,875,1436.5,302
13,9,0,672,44.0,3
13,6,4,582,818.5,173
13,6,4,305,1359.5,292
13,6,4,1157,1431.0,300
13,6,4,1820,1229.5,261
14,5,0,1891,4402.0,863
14,6,4,591,1000.0,209
14,6,4,666,1129.0,239
14,5,0,1196,3320.0,661
14,6,4,431,700.0,144
14,9,0,1068,10080.0,907
14,9,0,1089,9662.0,888
14,9,0,549,171.0,18
14,9,0,672,7608.0,702
14,5,0,1901,2887.0,567
14,9,0,509,10717.0,952
14,5,0,1914,5278.0,1035
14,5,0,717,2528.0,496
14,9,0,187,11727.0,1065
14,5,0,1032,2567.0,495
14,9,0,541,9948.0,912
14,6,4,617,450.0,99
14,5,0,40,3485.0,683
14,5,0,536,4884.0,960
14,5,0,289,4287.0,836
14,5,0,552,3832.0,740
14,9,0,40,6145.0,563
14,6,4,425,901.0,185
14,9,0,14,9467.0,863
14,6,4,208,1215.5,256
14,6,4,404,1323.5,269
14,5,0,1001,199.0,39
14,5,0,911,4216.0,818
14,5,0,151,2783.0,535
14,6,4,1592,829.0,170
14,9,0,2046,6483.0,575
14,6,4,1528,1276.0,272
14,5,0,1363,3104.0,603
14,9,0,256,6675.0,591
14,5,0,102,4371.0,857
14,9,0,872,14393.0,1380
14,6,4,1679,100.5,21
14,6,4,1055,1123.0,236
14,9,0,1410,7767.0,721
14,9,0,699,6638.0,647
14,6,4,2089,601.5,128
14,6,4,874,789.0,168
