WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,WEEKLY_SALES,TOTAL_QUANTITY
143,0,0,0,21493.0,2747
181,1,1,1,5728.0,582
181,2,1,2,6212.0,654
181,3,1,3,7875.0,847
181,4,1,4,4939.0,1049
181,5,1,5,13009.5,887
107,4,1,6,3429.0,716
181,1,1,7,5407.0,545
60,6,0,8,27976.0,3251
182,7,1,9,11288.0,1047
182,5,1,10,10609.25,735
182,5,1,11,9088.75,613
144,0,0,12,25657.0,3249
182,8,1,13,8586.0,608
42,9,2,14,956.0,185
42,4,2,15,732.0,151
43,4,2,16,449.0,94
44,4,2,17,597.5,128
49,4,2,18,484.0,99
53,9,2,19,668.0,135
54,9,2,20,119.0,25
56,10,2,21,1515.0,141
58,9,2,22,666.0,132
59,10,2,23,926.0,89
61,11,0,24,24830.0,3073
53,4,2,25,612.0,127
60,10,2,26,945.0,88
183,4,1,27,2785.5,578
183,11,1,28,17494.0,2168
183,0,1,29,9336.0,1185
183,10,1,30,13592.0,1245
70,11,0,31,21823.0,2680
109,3,1,32,5691.0,595
109,12,1,27,11862.0,978
110,12,1,33,6486.0,528
183,13,1,34,10958.0,1063
110,3,1,35,5903.0,622
110,3,1,36,9614.0,1030
111,12,1,37,12081.0,989
111,2,1,38,6618.0,696
175,10,3,39,12869.0,1190
175,7,3,40,9235.0,841
162,5,0,41,46875.5,3197
189,1,0,42,32547.0,3380
188,12,3,43,6982.0,574
155,4,0,44,12552.5,2650
188,8,3,45,14640.0,1055
189,4,3,46,4970.5,1035
189,1,3,47,6992.0,735
189,8,0,48,40896.0,2872
189,14,0,49,27330.0,2874
201,12,4,50,6900.0,552
195,7,0,51,30342.0,2848
112,3,1,52,7230.0,767
190,13,3,53,7397.0,724
176,0,3,54,8443.0,1085
186,13,1,55,10143.0,992
64,4,2,56,392.0,88
107,10,0,57,28044.0,2600
132,4,0,58,14340.5,3043
144,6,0,59,26084.0,3020
51,9,2,60,443.0,88
61,11,0,61,23870.0,2944
183,14,1,62,8531.0,893
189,8,0,63,39878.0,2808
183,7,1,64,10903.0,1001
183,14,1,65,9374.0,988
109,3,1,66,6852.0,728
62,6,0,67,26805.0,3142
132,6,0,61,27337.0,3165
110,0,1,68,5794.0,746
70,6,0,69,25686.0,2918
175,12,3,70,11603.0,973
175,1,3,71,9849.0,1012
63,11,0,72,21657.0,2688
162,2,0,73,30228.0,3213
184,0,1,74,6184.0,789
162,5,0,75,39294.5,2683
184,14,1,76,8606.0,914
144,3,0,77,27846.0,2969
185,0,1,78,5634.0,709
185,8,1,79,11947.0,836
185,3,1,80,9040.0,961
145,14,0,49,33219.0,3529
185,3,1,81,6723.0,705
186,5,1,82,9149.75,638
189,11,0,83,22859.0,2807
186,6,1,84,6074.0,709
145,8,0,85,37522.0,2650
188,6,3,86,6513.0,732
176,13,3,87,7509.0,749
145,13,0,88,26347.0,2552
145,13,0,89,34615.0,3360
163,6,0,90,29413.0,3366
180,12,4,91,10254.0,834
189,13,3,92,9296.0,894
189,14,3,93,7569.0,812
171,10,0,94,31116.0,2861
171,8,0,95,39464.0,2803
186,0,1,96,7344.0,941
201,5,3,97,15073.25,1053
201,4,4,98,2290.5,496
111,3,1,99,7764.0,818
111,2,1,100,6824.0,722
111,12,1,101,7903.0,638
190,14,3,102,7416.0,778
190,2,3,103,6410.0,682
190,1,3,104,8611.5,912
190,5,3,105,14683.5,1014
163,7,0,106,30401.0,2819
176,5,3,107,11785.0,812
73,11,0,108,21799.0,2670
66,6,0,109,23784.0,2761
114,12,3,110,6234.0,507
114,6,3,111,6513.0,758
75,11,0,112,22915.0,2820
75,6,0,113,28738.0,3316
75,11,0,114,23127.0,2855
163,8,0,115,40767.0,2911
163,8,0,116,43869.0,3109
65,10,2,117,1091.0,107
66,9,2,118,837.0,169
176,0,3,119,6688.0,842
164,0,0,120,24334.0,3111
171,8,0,121,41021.0,2881
163,4,2,122,493.5,107
163,6,2,123,1373.0,150
80,2,2,124,795.0,86
83,10,2,125,1577.0,145
86,10,2,126,886.0,86
166,8,2,14,1438.0,106
112,3,1,127,6967.0,745
146,2,0,128,28407.0,2978
167,14,2,129,1156.0,115
168,8,2,130,1715.0,118
169,12,2,131,1520.0,129
77,11,0,132,21659.0,2649
47,9,2,133,548.0,111
144,11,0,134,26063.0,3204
183,3,1,27,5602.0,583
185,13,1,135,9686.0,941
145,7,0,136,37713.0,3531
145,14,0,137,27307.0,2909
188,14,3,138,5702.0,612
188,6,3,110,7811.0,899
195,4,0,139,13909.5,2925
189,0,3,140,7184.0,920
180,8,4,141,11334.0,799
180,9,4,142,3475.0,682
145,2,0,143,26856.0,2847
189,2,3,144,8313.0,907
189,10,3,145,6053.0,568
190,11,3,146,3756.0,461
189,5,0,147,51635.5,3589
64,11,0,148,23014.0,2845
111,2,1,149,4553.0,485
171,5,0,150,46001.75,3174
74,11,0,151,25635.0,3169
187,5,1,152,11874.25,793
62,4,2,153,811.5,168
66,10,2,154,1014.0,99
187,6,1,155,6484.0,737
163,9,2,156,437.0,87
80,4,2,157,433.5,92
81,7,2,158,1189.0,114
82,10,2,159,817.0,72
83,10,2,160,1036.0,95
84,7,2,161,765.0,63
84,10,2,162,1236.0,114
84,10,2,163,754.0,68
164,4,2,164,991.0,217
164,10,2,165,1119.0,104
80,7,2,166,1063.0,91
165,10,2,167,1045.0,98
166,14,2,168,806.0,79
112,4,1,169,3330.5,690
113,4,1,170,3726.5,781
145,10,0,171,388.0,36
