DAY_OF_WEEK,TRUCK_BRAND_NAME,CITY,LOCATION,DAILY_SALES
4,0,0,0,57946.0
4,0,0,1,33007.0
5,1,1,2,12182.0
5,2,1,3,6883.0
5,3,1,4,16556.0
6,4,1,5,22412.0
5,1,0,6,28403.0
1,2,1,7,6804.0
4,5,1,8,8337.0
6,6,1,9,14407.0
3,7,0,10,26302.0
3,8,0,11,28563.0
0,5,0,12,31994.0
1,9,1,13,6691.0
2,8,1,14,7172.0
3,5,0,15,26966.0
0,8,0,16,33921.0
1,1,0,17,56023.0
5,3,0,18,48467.0
0,10,0,19,13841.0
1,9,0,20,34551.0
4,7,1,21,10427.0
3,3,0,22,41757.0
1,6,1,23,11213.0
5,2,2,24,16457.0
0,11,2,25,3735.0
4,0,1,26,9982.0
6,11,1,27,9689.0
1,12,2,28,23866.25
5,0,2,29,5854.0
0,11,2,30,4391.5
0,0,0,31,30941.0
0,4,2,32,6820.0
1,13,3,33,502.0
5,11,3,34,1510.0
5,3,3,35,5547.0
6,7,3,36,771.0
6,9,3,37,1600.0
5,10,3,38,907.0
6,7,3,39,1224.0
1,6,3,40,1401.0
4,7,3,41,1079.0
4,7,0,42,47535.0
1,0,2,43,8820.0
6,13,2,44,3529.0
6,0,2,45,7340.0
1,12,2,46,20468.75
5,13,2,47,4769.0
3,12,1,48,11087.5
3,2,1,49,5730.0
5,4,1,50,9440.0
0,3,2,51,7294.0
6,3,1,52,22038.0
1,6,1,53,18758.0
5,12,1,54,10091.25
4,1,0,55,25870.0
6,10,2,56,4698.5
0,11,2,57,5144.0
3,4,0,58,31444.0
1,6,2,59,8828.0
0,1,3,60,1800.0
6,2,0,61,22915.0
2,8,0,62,29176.0
0,0,0,63,25764.0
2,14,0,64,27115.0
6,9,0,65,69439.0
0,3,0,66,118015.0
6,10,1,67,5839.0
5,12,1,68,15709.0
2,2,2,69,9026.0
4,2,2,70,7123.0
0,4,2,71,8695.0
0,9,1,72,6465.0
4,0,0,73,26464.0
1,13,2,74,8031.0
6,7,0,75,23381.0
6,11,2,76,10600.5
2,4,2,77,8285.0
1,1,3,78,1550.0
3,7,3,79,1424.0
6,14,3,80,1257.0
2,11,3,81,974.0
4,5,3,82,2546.0
5,10,3,83,548.0
5,8,0,84,31587.0
2,5,0,85,27100.0
2,7,3,86,2274.0
